Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
173	:	1656393751.957	  3513.181	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 172 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_172.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_172.err
31	:	1656393720.710	  3552.203	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 30 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_30.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_30.err
180	:	1656393753.502	  3523.629	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 179 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_179.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_179.err
32	:	1656393720.916	  3563.527	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 31 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_31.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_31.err
225	:	1656393763.342	  3523.897	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 224 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_224.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_224.err
130	:	1656393742.483	  3551.082	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 129 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_129.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_129.err
111	:	1656393738.326	  3556.292	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 110 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_110.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_110.err
124	:	1656393741.145	  3566.020	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 123 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_123.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_123.err
216	:	1656393761.346	  3554.384	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 215 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_215.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_215.err
131	:	1656393742.689	  3578.851	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_south.sh 130 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_130.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs/south//log_15944888_130.err
