Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
41	:	1654461046.732	  7286.224	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 40 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_40.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_40.err
68	:	1654461052.610	  7281.904	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 67 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_67.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_67.err
22	:	1654461042.584	  7292.377	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 21 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_21.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_21.err
87	:	1654461056.778	  7281.494	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 86 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_86.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_86.err
124	:	1654461064.887	  7274.713	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 123 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_123.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_123.err
96	:	1654461058.769	  7287.960	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 95 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_95.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_95.err
53	:	1654461049.338	  7298.460	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 52 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_52.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_52.err
212	:	1654461084.203	  7266.072	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 211 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_211.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_211.err
15	:	1654461041.057	  7310.398	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 14 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_14.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_14.err
233	:	1654461088.822	  7267.568	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 232 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_232.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_232.err
178	:	1654461076.732	  7285.042	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 177 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_177.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_177.err
26	:	1654461043.467	  7320.210	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 25 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_25.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_25.err
182	:	1654461077.600	  7287.486	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 181 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_181.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_181.err
148	:	1654461070.151	  7296.532	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 147 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_147.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_147.err
